gender,age,academic_background,race,academic_interests,professional_interests,previous_work_experience,would_apply,rationale,auto_fixed,profile_text,overlap_tokens,overlap_count,program_refs_in_rationale,rationale_sentiment
Female,22,Computer Science,Asian,"Machine Learning, AI Ethics","Data Analyst, Tech Ethics Consultant",Yes,yes,"I think the MS in Analytics aligns well with my interests and work experience, offering both project-based learning and an online format.",No,"Computer Science. Machine Learning, AI Ethics. Data Analyst, Tech Ethics Consultant. gender:Female. age:22. work:Yes.","['learning', 'work']",2,9,0.0
Male,28,Biology,White,"Genetics, Biotechnology","Lab Researcher, Biotech Startup",No,no,"While I am passionate about analytics, my background is in biology and genetics which doesn't align closely enough with the program.",No,"Biology. Genetics, Biotechnology. Lab Researcher, Biotech Startup. gender:Male. age:28. work:No.","['biology', 'genetics']",2,6,-0.025
Female,25,Economics,Hispanic,"Behavioral Economics, Finance","Policy Advisor, Financial Planner",Yes,yes,"It aligns well with my interests in finance and policy, offering practical skills for a career as a Financial Planner.",No,"Economics. Behavioral Economics, Finance. Policy Advisor, Financial Planner. gender:Female. age:25. work:Yes.","['finance', 'financial', 'planner', 'policy']",4,6,0.0
Male,30,Mechanical Engineering,Black,"Robotics, Sustainable Energy","Engineer, Green Tech Innovator",Yes,no,"While my interests align more closely with engineering and green tech, the analytics focus of MS in Analytics at Saint Louis University does not match my background or career path goals.",No,"Mechanical Engineering. Robotics, Sustainable Energy. Engineer, Green Tech Innovator. gender:Male. age:30. work:Yes.","['engineering', 'green', 'tech']",3,11,0.15
Female,21,Psychology,Native American,"Cognitive Science, Mental Health","Counselor, Therapist",No,no,"While my interests align more closely with mental health and counseling roles rather than analytics, I believe applying for a graduate degree in Analytics might not be the best fit considering my academic background.",No,"Psychology. Cognitive Science, Mental Health. Counselor, Therapist. gender:Female. age:21. work:No.","['health', 'mental']",2,7,0.36
Male,26,Physics,Mixed,"Quantum Computing, Astrophysics","Scientist, Space Researcher",Yes,no,"While the MS in Analytics at Saint Louis University is a valuable degree, my academic and professional interests align more closely with Physics rather than analytics.",No,"Physics. Quantum Computing, Astrophysics. Scientist, Space Researcher. gender:Male. age:26. work:Yes.",['physics'],1,12,0.19999999999999998
Female,29,Chemistry,Asian,"Organic Synthesis, Pharmaceuticals","Chemist, Drug Developer",Yes,no,"While my academic background in Chemistry aligns well, the focus on analytics and organizational problems seems misaligned with my interests in organic synthesis and pharmaceutical development.",No,"Chemistry. Organic Synthesis, Pharmaceuticals. Chemist, Drug Developer. gender:Female. age:29. work:Yes.","['chemistry', 'organic', 'synthesis']",3,9,0.0
Male,24,History,White,"Modern European History, Politics","Historian, Museum Curator",No,no,"While my academic interests align well with the analytical skills taught in MS programs, I feel a degree focused on history would be more beneficial for me.",No,"History. Modern European History, Politics. Historian, Museum Curator. gender:Male. age:24. work:No.",['history'],1,6,0.25
Female,32,Electrical Engineering,Hispanic,"Renewables, IoT","Tech Consultant, IoT Specialist",Yes,yes,I think the MS in Analytics at Saint Louis University aligns well with my professional interests and offers a flexible learning format.,No,"Electrical Engineering. Renewables, IoT. Tech Consultant, IoT Specialist. gender:Female. age:32. work:Yes.",[],0,12,0.1
Male,27,Business Administration,Black,"Marketing, Entrepreneurship","Manager, Startup Founder",Yes,yes,"My professional interests align well with the analytics focus, and I believe my background in business administration will be an asset.",No,"Business Administration. Marketing, Entrepreneurship. Manager, Startup Founder. gender:Male. age:27. work:Yes.","['administration', 'business']",2,6,0.1
Female,23,Literature,Pacific Islander,"Creative Writing, Poetry","Writer, Editor",No,no,"While I admire the analytical skills taught, my passion lies in creative writing and poetry which do not align closely with this program's focus.",No,"Literature. Creative Writing, Poetry. Writer, Editor. gender:Female. age:23. work:No.","['creative', 'poetry', 'writing']",3,7,0.5
Male,31,Environmental Science,White,"Climate Change, Ecology","Environmentalist, Policy Maker",Yes,yes,It feels right for me as my professional interests align and the online format fits well within my work schedule.,No,"Environmental Science. Climate Change, Ecology. Environmentalist, Policy Maker. gender:Male. age:31. work:Yes.",['work'],1,3,0.19285714285714284
Female,20,Mathematics,Asian,"Statistics, Algebra","Actuary, Data Scientist",No,yes,"It feels right for me as my academic background aligns well with the analytical focus of MS in Analytics, and I'm eager to work on real-world problems.",No,"Mathematics. Statistics, Algebra. Actuary, Data Scientist. gender:Female. age:20. work:No.",['work'],1,9,0.14285714285714285
Male,35,Nursing,Hispanic,"Public Health, Pediatrics","Nurse, Health Administrator",Yes,yes,I believe my nursing background and interest in public health align well with the analytics skills needed for organizational problem-solving.,No,"Nursing. Public Health, Pediatrics. Nurse, Health Administrator. gender:Male. age:35. work:Yes.","['health', 'nursing', 'public']",3,6,0.0
Female,26,Political Science,Black,"International Relations, Law","Diplomat, Lawyer",Yes,no,"While my academic background aligns well with the analytics field, I feel more drawn towards roles that directly involve policy-making and international relations.",No,"Political Science. International Relations, Law. Diplomat, Lawyer. gender:Female. age:26. work:Yes.","['international', 'relations']",2,4,0.15
Male,29,Education,Native American,"Curriculum Design, Online Learning","Teacher, Educator",No,no,"While my academic interests align well with the curriculum, lack of professional experience in analytics and online teaching might hinder me from fully utilizing this program's offerings.",No,"Education. Curriculum Design, Online Learning. Teacher, Educator. gender:Male. age:29. work:No.","['curriculum', 'online']",2,9,0.05
Female,24,Graphic Design,Mixed,"UI/UX, Animation","Designer, Animator",Yes,no,"While the MS in Analytics at Saint Louis University is a robust program, my background and interests align more closely with UI/UX design and animation rather than analytics.",No,"Graphic Design. UI/UX, Animation. Designer, Animator. gender:Female. age:24. work:Yes.","['animation', 'design', 'ui', 'ux']",4,15,0.5
Male,33,Civil Engineering,White,"Urban Planning, Infrastructure","Planner, Engineer",Yes,yes,"It aligns well with my interests in urban planning and infrastructure, plus the online format suits my work commitments.",No,"Civil Engineering. Urban Planning, Infrastructure. Planner, Engineer. gender:Male. age:33. work:Yes.","['infrastructure', 'planning', 'urban', 'work']",4,5,0.0
Female,28,Sociology,Hispanic,"Social Inequality, Culture","Sociologist, Community Organizer",No,no,"While my interests align well with social inequality, I feel the analytics focus is a bit misaligned with my background in Sociology.",No,"Sociology. Social Inequality, Culture. Sociologist, Community Organizer. gender:Female. age:28. work:No.","['inequality', 'social', 'sociology']",3,6,0.03333333333333333
